  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
Complete match            =   9.00
Average crossing          =   3.12
No crossing               =  35.50
2 or less crossing        =  60.50
Tagging accuracy          =  91.35

-- len<=40 --
Number of sentence        =    185
Number of Error sentence  =      0
Number of Skip  sentence  =      0
Number of Valid sentence  =    185
Bracketing Recall         =  74.06
Bracketing Precision      =  72.11
Bracketing FMeasure       =  73.07
Complete match            =   9.73
Average crossing          =   2.48
No crossing               =  37.84
2 or less crossing        =  64.32
Tagging accuracy          =  91.81
